OTU	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL75	SMPL76	SMPL77	SMPL78	SMPL79	SMPL80	SMPL81	SMPL82	SMPL83	SMPL84	SMPL85	SMPL86	SMPL87	SMPL88	SMPL89	SMPL90	SMPL91	SMPL92	SMPL93	SMPL94	SMPL95	SMPL96	SMPL97	SMPL98	SMPL99	SMPL100	SMPL101	SMPL102	SMPL103	SMPL104	SMPL105	SMPL106	SMPL107
OTU_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	43	0	0	0	23	17	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3442	56	552	3	0	0	2363	0	0	0	0	0	0	0	5	0	0	0	100	0	0	18	3	198	42	12709	0	13705	0	0	324	282	21	0	0	0	34	9	0	20	17	0	0	0	35	0	66	5302	121	0	0	0	6	0	0	0	1	0	24	0	0	0	0	0	3	0	0	0	0
OTU_27	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	1379	7	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	58	0	0	0	0	0	183	63	3388	9073	1	0	1	0	0	0	0	0	0	6	0	0	0	0	44	0	30	1	1	22	75	0	1216	0	0	0	45	6996	2459	0	0	0	14	0	0	46	1	0	0	0	1	0	1	1	11124	0	0	855	549	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0
OTU_28	280	0	0	171	1559	28	0	0	1960	13	52	429	16	0	8	108	0	38	30	34	169	0	96	66	16	57	2577	0	18	7	4	0	70	153	0	2	0	0	0	667	0	60	894	1	0	13	39	0	0	0	1	0	454	0	0	0	2	311	0	0	42	15	141	391	0	1	0	1	33	61	0	3014	0	4	1	114	171	67	2618	627	0	9	8	4	9	1178	5685	186	72	215	483	117	92	1299	0	10	0	116	0	13	32	1	0	1223	1	8770	116	58
OTU_29	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	152	0	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	100	0	0	3086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	344	0	384	30	0	0	0	803	0	22759	7648	99	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14201	0	0	0	18905	0	0	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	482	0	0	0	464	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	89	0	0	3345	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0	14	0	0	0	0	2	0	0	0	0	0	0	388	0	431	30	0	0	0	868	0	21559	8078	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32	0	10	0	0	16	0	0	3694	1	48	372	0	15	0	0	34	0	0	0	82	0	0	0	0	93	10	0	0	4211	132	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	525	1	4	0	0	0	1	0	270	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	1	0	1116	0	0	0	0	0	5	0	0	0	0	0	1	15	0	0	6600	14447	2932	0	4	3
OTU_33	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	32754	0	4	0	0	0	0	0	0	0	0	0	0	0	20	0	0	128	0	9	0	0	0	749	0	0	1	0	37	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	164
OTU_34	0	0	0	3	0	0	0	0	3335	0	0	0	0	0	0	2	0	0	0	7164	8	0	1	0	0	0	233	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	361	0	0	62	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	18914
OTU_35	0	0	0	0	0	0	0	0	3004	0	0	0	0	0	0	0	0	0	0	6849	12	0	0	0	0	0	151	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	1085	11	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	51	0	0	0	0	0	0	0	271	0	0	74	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	18942
